text,label
I love this product,1
This is the worst experience ever,0
Amazing service and friendly staff,1
I will never come back here,0
Very satisfied with my purchase,1
The food was terrible,0
Excellent quality and fast delivery,1
I'm disappointed with the result,0
Great value for money,1
Totally unacceptable behavior,0
The support team was very helpful,1
I hate waiting for so long,0
Highly recommend this to everyone,1
Not worth the price,0
Best shopping experience ever,1
The product broke after one use,0
Fast shipping and good packaging,1
I received the wrong item,0
Customer service was fantastic,1
I am never buying here again,0
The item exceeded my expectations,1
The color was completely different,0
Very happy with my order,1
The size was too small,0
Quick response from the seller,1
The app keeps crashing,0
I will buy again for sure,1
Terrible quality and bad design,0
Loved the easy checkout process,1
Delivery was delayed by weeks,0
The material feels premium,1
The instructions were confusing,0
Fantastic value for the money,1
I want a refund immediately,0
Product arrived on time,1
It stopped working after a day,0
Customer support solved my issue,1
Not as described in the listing,0
Five stars for this product,1
I am very disappointed,0
